name,price,status,shipping,free_returns,items_sold
New Listing* NEW * Titleist GT2 Fairway 3 Wood 15° Denali 70G 6.0 Graphite Stiff Flex RH,29500,Brand New,,False,
"New Mizuno ST-Z 230 Fairway Wood Choose Loft, Dexterity, Shaft & Flex",15999,Brand New,,True,
Left Handed TaylorMade STEALTH 2 PLUS 15* 3 Wood Regular Graphite Mint,10699,Certified - Refurbished,,True,
New ListingHenry Griffitts Golf Clubs,7900,Pre-Owned,2835,False,
Titleist Golf Club TSR2 21* 4H Hybrid Stiff Graphite Very Good,14699,Pre-Owned,,True,
"NEW Tour Edge Golf Exotics E725 Driver 2025 Choose Shaft, Loft & Flex",,Brand New,,True,
Taylormade Stealth 2 25° 5 Hybrid Senior Flex Fujikura Ventus Tr Red Ih Good,7198,Pre-Owned,,True,
New ListingCallaway Paradym Ai Smoke MAX D 5-18* Fairway Wood Senior RH Graphite # 190855,21389,Pre-Owned,1299,True,
New Taylormade MG3 Chrome 52.09* Gap Wedge AW Tour Issue s200 Stiff,9999,Brand New,,False,
TaylorMade Hi Toe 3 LB 60* Lob Wedge Steel Very Good,7598,Pre-Owned,,True,
New ListingCallaway XR 6-AW Iron Set Left Handed Regular Flex Steel Odyssey,21999,Pre-Owned,1200,False,
New Listing* NEW* TaylorMade Qi35 Driver 10.5° Kai’li CB 60 Graphite Stiff Flex Shaft RH,49995,Brand New,,False,
"New Cobra Golf LTDx Hybrid 2022 Choose Club, Shaft & Flex",7998,Brand New,,True,
New RH Cobra SB Snake Bite Black 52* Gap Wedge AW 52.12c Stiff flex SnakeBite,6998,Brand New,,False,
Tour Edge Bazooka Geomax MAX MOI Driving Iron #3 Iron / 20° Loft - CUSTOM BUILD!,4999,Brand New,,False,
TAYLORMADE SIM2 MAX FAIRWAY WOOD #3/15° RH VENTUS BLUE FW 5 REG. *OPEN BOX* 1215,17995,New (Other),,True,
2024 TaylorMade BRNR Burner Mini 2.0 Driver      11.5 / 13.5 / Regular / Stiff,1495,Brand New,,False,
Cleveland RTX 6 Zipcore Tour Satin Wedge - New 2023 Model,10999,Brand New,,True,
