name,price,status,shipping,free_returns,items_sold
"Apple Macbook Air M2 2022 13"" 8-Core CPU 8-Core GPU 256GB SSD 8GB Ram Gray",64999,Excellent - Refurbished,,True,
"Apple MacBook Pro 13"", 4 Thunderbolt 3 - i7 - 2.3GHz 32GB 500GB 1Y warrnaty E135",47500,Very Good - Refurbished,,True,
"Apple MacBook Pro 15"" i7 Retina 1TB SSD 16GB 3.4Ghz Monterey - 3 Year Warranty",49900,Pre-Owned,,True,
"Apple Macbook Pro 13"" Laptop - i5 16GB RAM + 256GB SSD | OS Big Sur - Very Good",17955,Pre-Owned,,True,
"2017 Apple MacBook Pro 13'' Intel Core i5 2.3GHz, 128GB SSD 8GB RAM A1708, Good",25999,Good - Refurbished,,True,
Apple MacBook Pro 15 Core i7 16GB 256GB Silver 2015 - Used Very Good,17999,Pre-Owned,,True,
"Apple MacBook Air A1932 i5-8210Y 1.60GHZ 16GB 256GB SSD 13.3""",22999,Pre-Owned,,True,
"New ListingApple MacBook Air 13 in 2022 Midnight/Apple M2 3.49 GHz, 256 GB 8 GB 8-Core",60000,Pre-Owned,1124,False,
Apple 2024 MacBook Pro 14-inch M4 Pro 24GB RAM 512GB SSD Silver MX2E3LL/A,161900,Open Box,,True,
Apple MacBook Pro 15 Core i7 16GB 256GB Gray 2019 - Used Good,29399,Pre-Owned,,True,
"Apple MacBook Air 13.6"" Laptop 2022 M2 8GB RAM 256GB - Only 19 Battery Cycle",65000,Open Box,,False,
"Apple MacBook Pro 16"" 2019 Scissor, Gray - Core i9 2.4GHz 32GB 512GB - Very Good",48999,Very Good - Refurbished,,True,
"Apple Macbook Pro 15"" Laptop - Quad Core i7 2.2GHz 16GB RAM 1TB SSD - Warranty",28900,Pre-Owned,,True,
"Apple MacBook Air 13.3"" Core i5 8G RAM 128GB SSD Silver MQD32LL/A In Retail Box",47995,Brand New,1420,False,
"Apple MacBook Pro MWP42LL/A 13.3"" Retina i5, 16GB RAM, 512GB SSD, IrisPlus 2019",37500,Pre-Owned,,True,
Apple MacBook Air A1466 Intel Core i5-5250U @ 1.6GHz 8GB RAM 256GB SSD,12650,Pre-Owned,,True,
"13"" MacBook Air 2020 M1 7-Core GPU 16GB RAM 256GB SSD Sonoma Gray Warranty Good",46700,Good - Refurbished,,True,
Apple MacBook Pro A1502 i5-4258U 8GB 128GB SSD Mojave,12999,Good - Refurbished,,True,
"Apple Macbook Air 13"" Laptop - i5 8GB RAM 256GB SSD - MacOS Big Sur - Warranty",13205,Pre-Owned,,True,
"2017 Apple Macbook 12"" - 1.2ghz Core M3 - Choose Specs - Good Cond",17495,Pre-Owned,,True,
"Apple MacBook Air A2337 (Late 2020) Laptop 13"" M1 CPU 16GB RAM 256 SSD Gray",49999,Pre-Owned,,True,
Apple 2023 MacBook Pro 14-inch M3 8-Core 8GB RAM 512GB SSD Space Gray MTL73LL/A,97900,Open Box,,True,
"Apple MacBook Air M3 15.3"" 8-CoreCPU 10-CoreGPU 2024 512GB SSD 8GB RAM Excellent",89900,Excellent - Refurbished,,True,
